objectid,age,gender
61307363627bfbae31cd158a,85.0,-1.0
6130736f627bfbae31cd1657,68.0,1.0
61307330627bfbae31cd11ac,75.0,1.0
613073d8627bfbae31cd1e31,76.0,1.0
6194d5fe609d25628d41c246,77.0,-1.0
611625a431ee975e584d259c,62.0,-1.0
611627e531ee975e584d510c,88.0,-1.0
613074a5627bfbae31cd2de1,74.0,1.0
6194da37609d25628d41e1b3,25.0,-1.0
6194d8fd609d25628d41d898,64.0,-1.0
6194d7f9609d25628d41d101,52.0,-1.0
613fee09bba4618becadae5b,49.0,1.0
613074a7627bfbae31cd2e08,55.0,1.0
6194d9f9609d25628d41dfdf,70.0,1.0
6130bff74a00cdf42425dc42,69.0,1.0
6130bddd4a00cdf42425b5e3,36.0,-1.0
613fec4abba4618becad9cb1,84.0,1.0
6130c3ee4a00cdf4242624bf,68.0,1.0
61307308627bfbae31cd0e96,42.0,1.0
6130c16c4a00cdf42425f689,56.0,-1.0
6130c0564a00cdf42425e2ef,53.0,-1.0
6130c0334a00cdf42425e07b,82.0,1.0
6116264631ee975e584d3195,84.0,1.0
6130c4614a00cdf424262d3e,60.0,1.0
6194d871609d25628d41d47e,46.0,1.0
613fed33bba4618becada5b2,54.0,-1.0
6130bfa84a00cdf42425d67b,22.0,1.0
6130c0624a00cdf42425e3c2,80.0,-1.0
611626ad31ee975e584d391a,75.0,1.0
6130bf524a00cdf42425d05d,55.0,-1.0
6194d9e1609d25628d41df2d,9.0,1.0
6116256e31ee975e584d219e,33.0,1.0
6116293531ee975e584d6ac3,56.0,-1.0
6130c4554a00cdf424262c55,66.0,1.0
6130bf164a00cdf42425cc17,77.0,-1.0
6130732f627bfbae31cd118e,56.0,-1.0
6130bde94a00cdf42425b6b3,56.0,-1.0
6116290131ee975e584d66a5,58.0,-1.0
6130c1934a00cdf42425f964,73.0,1.0
613fee72bba4618becadb27a,83.0,-1.0
6130c4754a00cdf424262ec6,75.0,-1.0
6130c3264a00cdf4242615ae,84.0,-1.0
6116267131ee975e584d34be,30.0,-1.0
6130bdf54a00cdf42425b7b0,80.0,-1.0
6130c1964a00cdf42425f994,68.0,1.0
6130c3184a00cdf4242614be,55.0,-1.0
613fed7cbba4618becada8a0,46.0,1.0
6130bdb44a00cdf42425b31a,68.0,-1.0
6116299131ee975e584d71d0,72.0,-1.0
6116288431ee975e584d5d27,77.0,1.0
6130c4234a00cdf4242628b8,77.0,1.0
