훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [698/858], 손실: 0.0780
Batch [699/858], 손실: 0.1296
Batch [700/858], 손실: 0.1294
Batch [701/858], 손실: 0.1140
Batch [702/858], 손실: 0.1142
Batch [703/858], 손실: 0.1386
Batch [704/858], 손실: 0.1049
Batch [705/858], 손실: 0.1135
Batch [706/858], 손실: 0.1171
Batch [707/858], 손실: 0.1308
Batch [708/858], 손실: 0.0976
Batch [709/858], 손실: 0.0946
Batch [710/858], 손실: 0.0907
Batch [711/858], 손실: 0.1088
Batch [712/858], 손실: 0.1069
Batch [713/858], 손실: 0.1186
Batch [714/858], 손실: 0.1056
Batch [715/858], 손실: 0.0795
Batch [716/858], 손실: 0.1003
Batch [717/858], 손실: 0.1425
Batch [718/858], 손실: 0.1064
Batch [719/858], 손실: 0.1109
Batch [720/858], 손실: 0.1120
Batch [721/858], 손실: 0.1038
Batch [722/858], 손실: 0.1171
Batch [723/858], 손실: 0.1214
Batch [724/858], 손실: 0.1200
Batch [725/858], 손실: 0.1200
Batch [726/858], 손실: 0.1306
Batch [727/858], 손실: 0.1129
Batch [728/858], 손실: 0.1200
Batch [729/858], 손실: 0.1354
Batch [730/858], 손실: 0.1039
Batch [731/858], 손실: 0.1275
Batch [732/858], 손실: 0.1091
Batch [733/858], 손실: 0.1076
Batch [734/858], 손실: 0.1046
Batch [735/858], 손실: 0.1195
Batch [736/858], 손실: 0.0975
Batch [737/858], 손실: 0.0975
Batch [738/858], 손실: 0.0982
Batch [739/858], 손실: 0.1202
Batch [740/858], 손실: 0.1103
Batch [741/858], 손실: 0.1066
Batch [742/858], 손실: 0.1163
Batch [743/858], 손실: 0.1259
Batch [744/858], 손실: 0.1183
Batch [745/858], 손실: 0.1133
Batch [746/858], 손실: 0.1164
Batch [747/858], 손실: 0.1107
Batch [748/858], 손실: 0.1062
Batch [749/858], 손실: 0.0973
Batch [750/858], 손실: 0.1096
Batch [751/858], 손실: 0.1004
Batch [752/858], 손실: 0.0784
Batch [753/858], 손실: 0.1205
Batch [754/858], 손실: 0.1142
Batch [755/858], 손실: 0.1227
Batch [756/858], 손실: 0.1398
Batch [757/858], 손실: 0.1204
Batch [758/858], 손실: 0.1194
Batch [759/858], 손실: 0.1119
Batch [760/858], 손실: 0.1081
Batch [761/858], 손실: 0.1230
Batch [762/858], 손실: 0.1267
Batch [763/858], 손실: 0.1173
Batch [764/858], 손실: 0.0961
Batch [765/858], 손실: 0.1000
Batch [766/858], 손실: 0.1194
Batch [767/858], 손실: 0.1009
Batch [768/858], 손실: 0.0878
Batch [769/858], 손실: 0.0987
Batch [770/858], 손실: 0.1165
Batch [771/858], 손실: 0.1095
