훈련 로그 시작

Epoch [1/10]

Epoch 1 시작
Batch [633/858], 손실: 0.1097
Batch [634/858], 손실: 0.1293
Batch [635/858], 손실: 0.0933
Batch [636/858], 손실: 0.0977
Batch [637/858], 손실: 0.0938
Batch [638/858], 손실: 0.1277
Batch [639/858], 손실: 0.1045
Batch [640/858], 손실: 0.1106
Batch [641/858], 손실: 0.1126
Batch [642/858], 손실: 0.1270
Batch [643/858], 손실: 0.1109
Batch [644/858], 손실: 0.1298
Batch [645/858], 손실: 0.1113
Batch [646/858], 손실: 0.1093
Batch [647/858], 손실: 0.1345
Batch [648/858], 손실: 0.1012
Batch [649/858], 손실: 0.1257
Batch [650/858], 손실: 0.1216
Batch [651/858], 손실: 0.1172
Batch [652/858], 손실: 0.1175
Batch [653/858], 손실: 0.1148
Batch [654/858], 손실: 0.1068
Batch [655/858], 손실: 0.1095
Batch [656/858], 손실: 0.1221
Batch [657/858], 손실: 0.1379
Batch [658/858], 손실: 0.1366
Batch [659/858], 손실: 0.1023
Batch [660/858], 손실: 0.1027
Batch [661/858], 손실: 0.0857
Batch [662/858], 손실: 0.1272
Batch [663/858], 손실: 0.1212
Batch [664/858], 손실: 0.1082
Batch [665/858], 손실: 0.1070
Batch [666/858], 손실: 0.1208
Batch [667/858], 손실: 0.1250
Batch [668/858], 손실: 0.1165
Batch [669/858], 손실: 0.1244
Batch [670/858], 손실: 0.0966
Batch [671/858], 손실: 0.1217
Batch [672/858], 손실: 0.0809
Batch [673/858], 손실: 0.1210
Batch [674/858], 손실: 0.1244
Batch [675/858], 손실: 0.0998
Batch [676/858], 손실: 0.1124
Batch [677/858], 손실: 0.0956
Batch [678/858], 손실: 0.1201
Batch [679/858], 손실: 0.1169
Batch [680/858], 손실: 0.0986
Batch [681/858], 손실: 0.0908
Batch [682/858], 손실: 0.1186
Batch [683/858], 손실: 0.1044
Batch [684/858], 손실: 0.1197
Batch [685/858], 손실: 0.1074
Batch [686/858], 손실: 0.1192
Batch [687/858], 손실: 0.1219
Batch [688/858], 손실: 0.1135
Batch [689/858], 손실: 0.1111
Batch [690/858], 손실: 0.1036
Batch [691/858], 손실: 0.1187
Batch [692/858], 손실: 0.1070
Batch [693/858], 손실: 0.1160
Batch [694/858], 손실: 0.0972
Batch [695/858], 손실: 0.1105
Batch [696/858], 손실: 0.1195
Batch [697/858], 손실: 0.1323
Batch [698/858], 손실: 0.0928
Batch [699/858], 손실: 0.1045
Batch [700/858], 손실: 0.0941
Batch [701/858], 손실: 0.1125
Batch [702/858], 손실: 0.1147
Batch [703/858], 손실: 0.1235
Batch [704/858], 손실: 0.0982
Batch [705/858], 손실: 0.0906
Batch [706/858], 손실: 0.1157
Batch [707/858], 손실: 0.1215
Batch [708/858], 손실: 0.0970
Batch [709/858], 손실: 0.1127
Batch [710/858], 손실: 0.0937
Batch [711/858], 손실: 0.1017
Batch [712/858], 손실: 0.1089
Batch [713/858], 손실: 0.0968
Batch [714/858], 손실: 0.1027
Batch [715/858], 손실: 0.0994
Batch [716/858], 손실: 0.1057
Batch [717/858], 손실: 0.1290
Batch [718/858], 손실: 0.1353
Batch [719/858], 손실: 0.1274
Batch [720/858], 손실: 0.0966
Batch [721/858], 손실: 0.1115
Batch [722/858], 손실: 0.1098
Batch [723/858], 손실: 0.1050
Batch [724/858], 손실: 0.1167
Batch [725/858], 손실: 0.1067
Batch [726/858], 손실: 0.1057
Batch [727/858], 손실: 0.1065
Batch [728/858], 손실: 0.1074
Batch [729/858], 손실: 0.0908
Batch [730/858], 손실: 0.1091
Batch [731/858], 손실: 0.1023
Batch [732/858], 손실: 0.1090
Batch [733/858], 손실: 0.1046
Batch [734/858], 손실: 0.0843
Batch [735/858], 손실: 0.1230
Batch [736/858], 손실: 0.1192
Batch [737/858], 손실: 0.1289
Batch [738/858], 손실: 0.1065
Batch [739/858], 손실: 0.1194
Batch [740/858], 손실: 0.1026
Batch [741/858], 손실: 0.1173
Batch [742/858], 손실: 0.0898
Batch [743/858], 손실: 0.1278
Batch [744/858], 손실: 0.0770
Batch [745/858], 손실: 0.1147
Batch [746/858], 손실: 0.1118
Batch [747/858], 손실: 0.1129
Batch [748/858], 손실: 0.1052
Batch [749/858], 손실: 0.0949
Batch [750/858], 손실: 0.0904
Batch [751/858], 손실: 0.0960
Batch [752/858], 손실: 0.0982
Batch [753/858], 손실: 0.0944
Batch [754/858], 손실: 0.1031
Batch [755/858], 손실: 0.1247
Batch [756/858], 손실: 0.1056
Batch [757/858], 손실: 0.1009
Batch [758/858], 손실: 0.0752
Batch [759/858], 손실: 0.1190
Batch [760/858], 손실: 0.1142
Batch [761/858], 손실: 0.0980
Batch [762/858], 손실: 0.1127
Batch [763/858], 손실: 0.1210
Batch [764/858], 손실: 0.1159
Batch [765/858], 손실: 0.1072
Batch [766/858], 손실: 0.1157
Batch [767/858], 손실: 0.0926
Batch [768/858], 손실: 0.1237
Batch [769/858], 손실: 0.1055
Batch [770/858], 손실: 0.1004
Batch [771/858], 손실: 0.1134
